date,helpful,name,rating,review,size
18-Jun-19,4 people found this helpful,Nitish,5.0 out of 5 stars,Honest review of oneplus 7 with comparison with other phones in this price range,Size: 6GB+128GB
08-Jun-19,3 people found this helpful,nilr,4.0 out of 5 stars,Screen protector having big bubbles underneath.,Size: 6GB+128GB
07-Jun-19,7 people found this helpful,AMOD K.,3.0 out of 5 stars,Same copy of One plus 6T,Size: 6GB+128GB
07-Jun-19,7 people found this helpful,Alex Toppo,5.0 out of 5 stars,Battery is great,Size: 8GB+256GB
13-Jun-19,5 people found this helpful,Pradeep,5.0 out of 5 stars,Highly recommended,Size: 6GB+128GB
11-Jun-19,4 people found this helpful,Albert Sabu,5.0 out of 5 stars,My first OnePlus device!,Size: 6GB+128GB
15-Jul-19,4 people found this helpful,Nazia Mirza,5.0 out of 5 stars,Just buy it!,Size: 8GB+256GB
19-Jun-19,5 people found this helpful,Meetu,2.0 out of 5 stars,Nothing Extraordinary - Not value for money,Size: 6GB+128GB
08-Jun-19,7 people found this helpful,Vikrant,1.0 out of 5 stars,Not that great!!,Size: 6GB+128GB
12-Jun-19,4 people found this helpful,Pratip Sarkar,5.0 out of 5 stars,"Optimum Technology in your hand, In one word, Fabulous",Size: 8GB+256GB
07-Jun-19,9 people found this helpful,Sumit Soam,5.0 out of 5 stars,Perfect,Size: 6GB+128GB
16-Jul-19,5 people found this helpful,Goutham,1.0 out of 5 stars,Received a damaged package first and then a damaged product.,Size: 8GB+256GB
28-Jul-19,2 people found this helpful,JIMMY,5.0 out of 5 stars,Fastest Prettiest Performance Master,Size: 8GB+256GB
25-Jul-19,5 people found this helpful,Amazon Customer,1.0 out of 5 stars,Heart breaking decision 💔.......,Size: 8GB+256GB
29-Jul-19,5 people found this helpful,vasireddy Ranjith,1.0 out of 5 stars,One plus 7 mobile 3 days old mobile The display was death and stopped working within 3 Days Wast,Size: 8GB+256GB
07-Aug-19,4 people found this helpful,Saketh Sabbana,5.0 out of 5 stars,An amazing 9.25 on 10,Size: 6GB+128GB
13-Jun-19,6 people found this helpful,subash tamilmani,1.0 out of 5 stars,software bugs! time keeps changing to gmt randomly,Size: 6GB+128GB
06-Jul-19,3 people found this helpful,Aniruddha Aserkar,5.0 out of 5 stars,Amazing value for money phone,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,Gopal,4.0 out of 5 stars,Best phone under 33000 rupees,Size: 6GB+128GB
08-Jun-19,4 people found this helpful,Nikhil Bindal,3.0 out of 5 stars,Overall Nice product,Size: 6GB+128GB
10-Jun-19,6 people found this helpful,mohit agarwal,3.0 out of 5 stars,Camera,Size: 8GB+256GB
07-Jun-19,7 people found this helpful,suraj thakur,1.0 out of 5 stars,Camera taking blurry pics,Size: 6GB+128GB
29-Jun-19,4 people found this helpful,D Senthil Kumar,1.0 out of 5 stars,Worst Quality Product delivered,Size: 6GB+128GB
01-Aug-19,5 people found this helpful,HARPREET SINGH,3.0 out of 5 stars,Bad service from OnePlus,Size: 6GB+128GB
15-Jun-19,4 people found this helpful,Mayur Gupta,5.0 out of 5 stars,The Beast,Size: 6GB+128GB
19-Jul-19,4 people found this helpful,Sai Krishna Reddy,1.0 out of 5 stars,the product is not ergonomic and no much options for Camera and no big battery,Size: 6GB+128GB
09-Jun-19,3 people found this helpful,shruti,5.0 out of 5 stars,Just go for it,Size: 6GB+128GB
17-Jun-19,2 people found this helpful,Ianilsingh07,2.0 out of 5 stars,"If i could, i'd return it for refund.",Size: 6GB+128GB
08-Jun-19,4 people found this helpful,Johnson Singh,5.0 out of 5 stars,BEST ANDROID PHONE UNDER 40K,Size: 6GB+128GB
07-Jun-19,3 people found this helpful,Akshay Vaidya,5.0 out of 5 stars,Amazing choice except camera,Size: 6GB+128GB
07-Jul-19,4 people found this helpful,Y.P KISHORE,4.0 out of 5 stars,10 days usage review of OP7,Size: 6GB+128GB
02-Aug-19,5 people found this helpful,naresh nandiwal,1.0 out of 5 stars,Just wrote what i feel,Size: 6GB+128GB
21-Sep-19,4 people found this helpful,Akram Hussein,5.0 out of 5 stars,Don't go for negitive reviews.!,Size: 6GB+128GB
22-Jun-19,3 people found this helpful,Hari,1.0 out of 5 stars,oneplus 7 has major heating issue unable to hold mobile at ear,Size: 6GB+128GB
11-Jun-19,4 people found this helpful,Amazon Customer,4.0 out of 5 stars,Thumbs up for Mobile bt Thumbs down for Camera,Size: 6GB+128GB
15-Aug-19,One person found this helpful,Hemant,3.0 out of 5 stars,"Not worth it, neither they are able to compete with there last version",Size: 6GB+128GB
08-Jun-19,5 people found this helpful,Amazon Customer,1.0 out of 5 stars,Worst screen guard...,Size: 8GB+256GB
06-Jul-19,3 people found this helpful,bharath,1.0 out of 5 stars,One plus 7 is worst,Size: 6GB+128GB
21-Jun-19,5 people found this helpful,Pushpa,1.0 out of 5 stars,Strucks Often! Poor performance.,Size: 6GB+128GB
01-Aug-19,3 people found this helpful,UT,1.0 out of 5 stars,One Plus 7 - Faulty Equipment,Size: 6GB+128GB
17-Aug-19,One person found this helpful,Abhya,5.0 out of 5 stars,Marvelous phone 👌 Praiseworthy looks 🏅Exceptional features,Size: 8GB+256GB
30-Jun-19,2 people found this helpful,Rajeev,3.0 out of 5 stars,Processor is what you are buying.,Size: 8GB+256GB
10-Jun-19,6 people found this helpful,Imran Qureshi,1.0 out of 5 stars,No type c to 3.5mm adaptor,Size: 6GB+128GB
11-Jul-19,2 people found this helpful,Akshay Prabhu,5.0 out of 5 stars,Great phone hands down!!!,Size: 6GB+128GB
07-Aug-19,3 people found this helpful,Sandy,1.0 out of 5 stars,Having issues with receiving & making calls,Size: 6GB+128GB
11-Jun-19,3 people found this helpful,Atanu Ghosh,5.0 out of 5 stars,Excellent phone by one plus,Size: 6GB+128GB
02-Jul-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,Do u really need feedback for this.,Size: 8GB+256GB
21-Jun-19,5 people found this helpful,Samit,1.0 out of 5 stars,Abruptly stopped working,Size: 8GB+256GB
06-Jul-19,One person found this helpful,Sushant Awasthi,5.0 out of 5 stars,Awesome phone.. lives up to its flagship killer tag,Size: 8GB+256GB
